date,event,location,result,fighter1,fighter2,method_of_victory,fight_duration,fight_format,f1_knockdown,f2_knockdown,f1_sig_strike_land,f2_sig_strike_land,f1_sig_strike_att,f2_sig_strike_att,f1_total_strike_land,f2_total_strike_land,f1_total_strike_att,f2_total_strike_att,f1_takedown_land,f2_takedown_land,f1_takedown_att,f2_takedown_att,f1_sub_att,f2_sub_att,f1_reversal,f2_reversal,f1_control_time,f2_control_time
"October 12, 2024",UFC Fight Night: Royval vs. Taira,"Las Vegas, Nevada, USA",1,Daniel Rodriguez,Alex Morono,Decision - Split,900,3,0,0,123,74,257,257,126,91,260,276,1,0,1,1,0,0,0,0,56,0
"October 12, 2024",UFC Fight Night: Royval vs. Taira,"Las Vegas, Nevada, USA",0,CJ Vergara,Ramazan Temirov,KO/TKO,170,3,0,3,4,23,16,55,4,23,16,55,0,0,0,0,0,0,0,0,0,5
"October 12, 2024",UFC Fight Night: Royval vs. Taira,"Las Vegas, Nevada, USA",1,Chidi Njokuani,Jared Gooden,Decision - Unanimous,900,3,0,0,105,20,148,50,162,81,207,121,0,2,0,8,0,1,0,0,556,149
"October 12, 2024",UFC Fight Night: Royval vs. Taira,"Las Vegas, Nevada, USA",0,Jonathan Pearce,Pat Sabatini,Submission,246,3,0,0,2,3,2,5,32,19,32,25,0,2,0,3,0,1,0,0,0,236
"October 12, 2024",UFC Fight Night: Royval vs. Taira,"Las Vegas, Nevada, USA",0,Dan Argueta,Cody Haddon,Decision - Unanimous,900,3,0,0,54,140,140,280,65,148,151,288,4,2,24,4,1,0,0,0,263,91
"October 12, 2024",UFC Fight Night: Royval vs. Taira,"Las Vegas, Nevada, USA",1,Grant Dawson,Rafa Garcia,KO/TKO,402,3,0,0,44,5,90,12,80,29,144,38,2,0,4,0,0,0,0,0,309,0
"October 12, 2024",UFC Fight Night: Royval vs. Taira,"Las Vegas, Nevada, USA",0,Brad Tavares,JunYong Park,Decision - Split,900,3,0,0,65,99,149,177,73,124,159,210,0,2,0,6,0,0,0,0,42,392
"October 12, 2024",UFC Fight Night: Royval vs. Taira,"Las Vegas, Nevada, USA",1,Brandon Royval,Tatsuro Taira,Decision - Split,1500,5,0,0,124,42,232,99,172,80,287,143,3,6,3,15,3,1,2,0,143,733
"September 14, 2024",UFC 306: Riyadh Season Noche UFC,"Las Vegas, Nevada, USA",0,Sean O'Malley,Merab Dvalishvili,Decision - Unanimous,1500,5,0,0,47,82,89,164,49,214,91,310,0,6,0,15,0,0,0,0,0,603
"October 05, 2024",UFC 307: Pereira vs. Rountree Jr.,"Salt Lake City, Utah, USA",1,Ryan Spann,Ovince Saint Preux,Submission,95,3,0,0,9,7,20,10,9,7,20,10,0,0,0,1,1,0,0,0,3,3
"October 05, 2024",UFC 307: Pereira vs. Rountree Jr.,"Salt Lake City, Utah, USA",1,Cesar Almeida,Ihor Potieria,Decision - Unanimous,900,3,0,0,57,44,113,89,78,57,137,102,0,3,2,8,1,0,1,0,135,212
"September 14, 2024",UFC 306: Riyadh Season Noche UFC,"Las Vegas, Nevada, USA",0,Alexa Grasso,Valentina Shevchenko,Decision - Unanimous,1500,5,0,0,18,45,100,80,153,193,245,233,1,8,4,12,2,0,0,0,49,964
"September 14, 2024",UFC 306: Riyadh Season Noche UFC,"Las Vegas, Nevada, USA",0,Brian Ortega,Diego Lopes,Decision - Unanimous,900,3,0,0,63,106,195,206,69,113,201,214,0,1,2,1,0,0,0,0,6,165
"October 05, 2024",UFC 307: Pereira vs. Rountree Jr.,"Salt Lake City, Utah, USA",0,Austin Hubbard,Alexander Hernandez,Decision - Split,900,3,0,0,63,79,191,204,65,91,193,217,0,0,12,2,0,0,0,0,5,40
"September 14, 2024",UFC 306: Riyadh Season Noche UFC,"Las Vegas, Nevada, USA",0,Daniel Zellhuber,Esteban Ribovics,Decision - Split,900,3,1,0,121,156,308,345,121,156,308,345,0,0,1,0,0,0,0,0,15,0
"October 05, 2024",UFC 307: Pereira vs. Rountree Jr.,"Salt Lake City, Utah, USA",0,Ketlen Vieira,Kayla Harrison,Decision - Unanimous,900,3,0,0,24,55,61,94,67,98,108,149,0,2,0,8,0,0,0,0,0,474
"October 05, 2024",UFC 307: Pereira vs. Rountree Jr.,"Salt Lake City, Utah, USA",0,Stephen Thompson,Joaquin Buckley,KO/TKO,737,3,0,1,49,34,106,93,63,55,121,117,0,4,0,7,0,0,0,0,3,253
"October 05, 2024",UFC 307: Pereira vs. Rountree Jr.,"Salt Lake City, Utah, USA",0,Marina Rodriguez,Iasmin Lucindo,Decision - Split,900,3,0,0,33,30,99,73,65,55,134,104,1,3,1,4,0,0,0,1,11,280
"October 05, 2024",UFC 307: Pereira vs. Rountree Jr.,"Salt Lake City, Utah, USA",0,Jose Aldo,Mario Bautista,Decision - Split,900,3,0,0,51,49,117,142,65,90,139,196,0,0,0,10,0,0,0,0,0,435
